sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_PHF19_1356	PHF19	398	244	273	301	307	94
EpiKDlib_ZGPAT_2172	ZGPAT	1286	162	862	197	1341	56
EpiKDlib_FOXP3_658	FOXP3	656	331	565	469	594	149
EpiKDlib_RPS6KA4_1591	RPS6KA4	176	93	148	125	172	32
EpiKDlib_ASXL1_122	ASXL1	404	262	257	767	501	197
EpiKDlib_USP16_2080	USP16	654	256	470	300	597	112
EpiKDlib_FBRS_639	FBRS	377	246	339	334	380	108
EpiKDlib_SIRT6_1724	SIRT6	460	255	276	397	334	148
EpiKDlib_CHD6_371	CHD6	410	271	296	283	338	121
EpiKDlib_FOXO1_649	FOXO1	581	94	597	232	535	72
EpiKDlib_UBE2E1_2036	UBE2E1	447	370	340	365	562	207
EpiKDlib_TP53_1989	TP53	2504	772	2044	1296	2709	516
EpiKDlib_PRKAG1_1457	PRKAG1	345	143	220	173	351	57
EpiKDlib_KDM4E_940	KDM4E	505	243	322	438	446	139
EpiKDlib_ACTL6B_12	ACTL6B	554	275	515	395	768	156
EpiKDlib_AIRE_36	AIRE	465	519	399	470	363	189
EpiKDlib_KAT8_906	KAT8	236	117	272	143	345	63
EpiKDlib_APOBEC3G_81	APOBEC3G	485	242	381	359	621	123
EpiKDlib_TAF10_1885	TAF10	251	345	190	475	121	117
EpiKDlib_NAP1L1_1136	NAP1L1	811	166	433	227	741	78
EpiKDlib_ZHX1_2177	ZHX1	514	271	443	531	474	189
EpiKDlib_DAPK3_452	DAPK3	557	174	382	278	534	79
EpiKDlib_EYA1_613	EYA1	518	381	345	498	472	164
EpiKDlib_NAA60_1132	NAA60	538	319	376	407	442	138
EpiKDlib_KDM4C_934	KDM4C	785	512	557	546	690	170
EpiKDlib_NCOR2_1170	NCOR2	570	273	282	293	510	123
EpiKDlib_GLYR1_687	GLYR1	448	251	379	314	469	105
EpiKDlib_L3MBTL2_987	L3MBTL2	395	1082	329	1256	419	450
EpiKDlib_SMYD2_1786	SMYD2	511	268	478	301	548	75
EpiKDlib_LBR_1000	LBR	504	322	339	509	241	189
