sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_JARID2_864	JARID2	266.5511092515259	243.22389447116825	256.6294439120726	179.71850268953787	337.73022715612325	307.7463961454987
EpiKDlib_RAD54B_1510	RAD54B	339.8017957633956	333.7258086929983	342.7244831599937	313.40073868027787	394.731109376566	258.50697276221894
EpiKDlib_HDGFRP2_749	HDGFRP2	483.59018039780653	599.5751817196241	384.1163289522635	478.06892341059336	398.29366451534366	455.4646662953381
EpiKDlib_ELP6_563	ELP6	61.042238759891426	58.82624424418953	73.67748551024019	103.58160007229522	63.41348147024255	142.7943278115114
EpiKDlib_TP53BP1_1994	TP53BP1	349.97550222337753	424.22772291482835	432.1308700712964	405.4732720778736	408.9813299316767	617.9547634601614
EpiKDlib_NO-TARGET_1201	NO-TARGET	518.8590294590771	486.4477889423365	603.4931116512932	537.3848824263522	468.8322562631416	541.6336572160777
EpiKDlib_NCOA2_1159	NCOA2	354.7232319047024	243.22389447116825	218.5489457831844	296.579795078794	200.92810982706067	214.1914917172671
EpiKDlib_RAG2_1522	RAG2	467.9904971591676	461.55976253133326	432.1308700712964	490.4633029064235	496.6201863456074	438.23086811119015
EpiKDlib_PCGF3_1314	PCGF3	279.43780410083633	494.36670643674665	205.30355512965806	489.5779900852928	230.85357299279312	610.5688499526694
EpiKDlib_UBE2E1_2034	UBE2E1	1202.5321035698612	1410.6985879327758	1138.2757592874186	1327.9692316960925	1353.7709527355153	1287.6109214727667
EpiKDlib_CDK2_317	CDK2	430.6869068059006	143.6717888271552	426.33601166037863	116.86129238925615	381.19339984921083	93.55490442823161
EpiKDlib_CDYL2_339	CDYL2	581.2577624136328	435.54046219255713	566.2404504382505	421.4089028582267	488.78256504029656	418.53509875787825
EpiKDlib_KDM6B_957	KDM6B	262.48162666753313	519.2547328477499	313.7501911054049	560.4030157757511	243.67877149239274	359.4477906979425
EpiKDlib_SCMH1_1638	SCMH1	46.120802618584634	248.88026411003264	55.465073361641494	218.67226681928992	63.41348147024255	228.96331873225103
EpiKDlib_PHF12_1345	PHF12	115.98025364379372	122.17758419947057	92.71773457468429	94.72847186098794	106.16414313557462	96.0168755973956
EpiKDlib_ATF7IP_139	ATF7IP	120.7279833251186	1063.397492106503	116.72500513420076	850.78562110663	128.9644960237517	844.4561110232485
EpiKDlib_GATAD1_673	GATAD1	497.15512234444907	128.96522776610783	593.5590686611486	131.91161034847852	532.2457377333841	174.79995301064326
EpiKDlib_UBN1_2046	UBN1	491.05089846845993	485.31651501456366	522.3650938984446	463.01860545137095	466.694723179875	379.1435600512544
EpiKDlib_TADA1_1871	TADA1	90.20686394517288	902.7565943627548	73.67748551024019	894.1659493420357	109.72669827435229	893.6955344065283
EpiKDlib_EPC2_576	EPC2	311.9936647727784	192.31656772138885	251.66242241700022	182.37444115293005	262.20405821403665	214.1914917172671
EpiKDlib_BPTF_209	BPTF	307.92418218878566	987.6021389457204	264.07997615468116	632.11335428734	242.9662604646372	691.8138985350811
EpiKDlib_SETD8_1678	SETD8	319.4543828434318	349.5636436818186	269.8748345655989	309.85948739575497	357.68053593327824	467.774522141158
EpiKDlib_NEK9_1176	NEK9	300.46346411813226	558.8493203198005	277.3253668082075	570.1414568081891	225.86599579850437	504.7040896786179
EpiKDlib_ATAD2_130	ATAD2	393.3833164526336	280.55593408767317	365.0760798878194	291.26791815200966	372.6432675161445	199.41966470228317
EpiKDlib_NO-TARGET_1229	NO-TARGET	298.42872282613587	235.30497697675813	320.372886432168	273.5616617293951	359.8180690165448	194.49572236395517
EpiKDlib_TAF9B_1924	TAF9B	423.90443583257934	524.9111024866143	330.30692942231275	372.71669769603665	468.11974523538606	354.5238483596145
EpiKDlib_ZBTB7C_2165	ZBTB7C	617.2048585722355	424.22772291482835	635.7787513692637	614.4070978647255	605.6343735922042	514.5519743552738
EpiKDlib_MPHOSPH8_1086	MPHOSPH8	31.19936647727784	101.8146534995588	84.43936541623033	115.09066674699469	89.77638949719733	68.93519273659172
EpiKDlib_TOP2B_1988	TOP2B	195.33516403165257	186.6601980825245	202.8200443821219	277.102913013918	266.47912438056983	270.81682860803886
EpiKDlib_ASF1A_108	ASF1A	400.16578742595493	647.0886866860849	469.3835312843392	489.5779900852928	458.14459084680857	561.3294265693896
EpiKDlib_EPC2_577	EPC2	423.90443583257934	136.88414526051795	524.0207677301353	238.14914888416595	449.59445851374215	233.887261070579
EpiKDlib_APOBEC3D_77	APOBEC3D	271.97708603018293	573.555881380848	316.23370185294107	563.0589542391433	305.66723090712424	583.4871670918656
EpiKDlib_MSL1_1095	MSL1	145.8231259264073	125.57140598278919	123.34770046096392	147.84724112883166	112.57674238537442	142.7943278115114
EpiKDlib_ZRANB3_2215	ZRANB3	357.43622029403093	590.524990297441	413.0906210068523	647.1636722465624	389.74353218227725	625.3406769676534
EpiKDlib_BRWD3_259	BRWD3	263.15987376486527	362.0076568873202	216.8932719514936	278.87353865617945	260.77903615852557	356.9858195287785
EpiKDlib_KMT2A_971	KMT2A	591.4314688736147	535.0925678365702	567.8961242699413	444.42703620762563	536.5208038999174	420.9970699270422
EpiKDlib_CHD4_364	CHD4	16.956177433303175	9.050191422183005	22.351596727825676	23.018133349398937	18.52528672164389	12.309855845819948
EpiKDlib_UBR2_2051	UBR2	249.59493181822273	170.8223630937042	302.16047428356933	313.40073868027787	284.29190007445817	300.3604826380067
EpiKDlib_APOBEC3G_83	APOBEC3G	320.13262994076393	272.637016593263	301.3326373677239	355.89575409455284	298.5421206295689	317.59428082215464
EpiKDlib_RMI1_1572	RMI1	346.58426673671687	230.77988126566663	292.2264312934246	270.02041044487214	349.84291462796733	231.42528990141503
EpiKDlib_BRD2_224	BRD2	264.51636795952953	220.59841591571075	262.42430232299034	220.44289246155137	252.22890382545916	260.9689439313829
EpiKDlib_TAF9B_1923	TAF9B	567.0145733696581	681.0269045192712	516.5702354875267	559.5177029546204	541.5083810942061	647.4984174901292
EpiKDlib_TP53_1990	TP53	1163.8720190219299	799.810666935423	988.4372775194022	701.1677543355369	1261.1445191272958	691.8138985350811
EpiKDlib_ATN1_145	ATN1	543.9541720603659	250.0115380378055	475.17838969525695	355.89575409455284	403.2812417096324	278.20274211553084
EpiKDlib_DNMT3B_492	DNMT3B	185.8397046690028	262.4555512433071	178.8127738226054	212.4750770713748	168.86511357806162	155.10418365733133
EpiKDlib_APOBEC1_61	APOBEC1	362.86219707268793	332.59453476522543	384.1163289522635	366.51950794812154	317.06740735121275	302.82245380717075
EpiKDlib_PDP1_1324	PDP1	250.27317891555484	220.59841591571075	190.40249064444095	208.9338257868519	183.11533413317233	332.3661078371386
EpiKDlib_BAZ2A_192	BAZ2A	385.24435128464813	102.94592742733168	437.0978915663688	180.6038155106686	470.25727831865265	91.09293325906762
